titles,artists,ids,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Running on Empty,Jackson Browne,6aqm56xP40foYBBtAWWrnY,6aqm56xP40foYBBtAWWrnY,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,audio_features,6aqm56xP40foYBBtAWWrnY,spotify:track:6aqm56xP40foYBBtAWWrnY,https://api.spotify.com/v1/tracks/6aqm56xP40foYBBtAWWrnY,https://api.spotify.com/v1/audio-analysis/6aqm56xP40foYBBtAWWrnY,291893,4
Whenever I Call You 'Friend',Kenny Loggins,5NCY3uTCovd93aqwbodUhm,5NCY3uTCovd93aqwbodUhm,0.461,0.551,0,-13.095,1,0.0345,0.114,0.0,0.11,0.689,129.716,audio_features,5NCY3uTCovd93aqwbodUhm,spotify:track:5NCY3uTCovd93aqwbodUhm,https://api.spotify.com/v1/tracks/5NCY3uTCovd93aqwbodUhm,https://api.spotify.com/v1/audio-analysis/5NCY3uTCovd93aqwbodUhm,237827,4
Fool (If You Think It's Over),Chris Rea,0UHiH4dy1hXULYl8CgNxRV,0UHiH4dy1hXULYl8CgNxRV,0.722,0.412,4,-14.3,0,0.0267,0.312,2.5e-05,0.0448,0.91,105.927,audio_features,0UHiH4dy1hXULYl8CgNxRV,spotify:track:0UHiH4dy1hXULYl8CgNxRV,https://api.spotify.com/v1/tracks/0UHiH4dy1hXULYl8CgNxRV,https://api.spotify.com/v1/audio-analysis/0UHiH4dy1hXULYl8CgNxRV,284533,4
Get Off,Foxy,21IypW8aMJ2iUhzrXe3hKO,21IypW8aMJ2iUhzrXe3hKO,0.93,0.547,9,-8.289,1,0.219,0.0107,0.000856,0.056,0.955,130.793,audio_features,21IypW8aMJ2iUhzrXe3hKO,spotify:track:21IypW8aMJ2iUhzrXe3hKO,https://api.spotify.com/v1/tracks/21IypW8aMJ2iUhzrXe3hKO,https://api.spotify.com/v1/audio-analysis/21IypW8aMJ2iUhzrXe3hKO,341293,4
Sweet Talkin' Woman,Electric Light Orchestra,0xAhbD6lCf5re1RXl5yiTm,0xAhbD6lCf5re1RXl5yiTm,0.609,0.611,0,-9.208,1,0.0298,0.513,0.0,0.093,0.916,121.836,audio_features,0xAhbD6lCf5re1RXl5yiTm,spotify:track:0xAhbD6lCf5re1RXl5yiTm,https://api.spotify.com/v1/tracks/0xAhbD6lCf5re1RXl5yiTm,https://api.spotify.com/v1/audio-analysis/0xAhbD6lCf5re1RXl5yiTm,229867,4
Life's Been Good,Joe Walsh,2wvMC5EyaaYQwBfiwwY2xE,2wvMC5EyaaYQwBfiwwY2xE,0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,audio_features,2wvMC5EyaaYQwBfiwwY2xE,spotify:track:2wvMC5EyaaYQwBfiwwY2xE,https://api.spotify.com/v1/tracks/2wvMC5EyaaYQwBfiwwY2xE,https://api.spotify.com/v1/audio-analysis/2wvMC5EyaaYQwBfiwwY2xE,536227,4
I Love the Nightlife,Alicia Bridges,6c0G8K6G2LlIfJTsRLJjfs,6c0G8K6G2LlIfJTsRLJjfs,0.693,0.708,0,-7.816,1,0.031,0.309,0.00305,0.0857,0.949,125.315,audio_features,6c0G8K6G2LlIfJTsRLJjfs,spotify:track:6c0G8K6G2LlIfJTsRLJjfs,https://api.spotify.com/v1/tracks/6c0G8K6G2LlIfJTsRLJjfs,https://api.spotify.com/v1/audio-analysis/6c0G8K6G2LlIfJTsRLJjfs,187973,4
You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,7CfCUjAZFndcpAWLogl9J3,7CfCUjAZFndcpAWLogl9J3,0.381,0.362,0,-10.321,0,0.0501,0.695,0.0,0.0863,0.595,183.438,audio_features,7CfCUjAZFndcpAWLogl9J3,spotify:track:7CfCUjAZFndcpAWLogl9J3,https://api.spotify.com/v1/tracks/7CfCUjAZFndcpAWLogl9J3,https://api.spotify.com/v1/audio-analysis/7CfCUjAZFndcpAWLogl9J3,212027,4
It's So Easy,Linda Ronstadt,6AZyiAl6mr3Jcp6AlmiQwF,6AZyiAl6mr3Jcp6AlmiQwF,0.623,0.764,4,-4.686,1,0.0418,0.0229,0.0,0.841,0.894,119.717,audio_features,6AZyiAl6mr3Jcp6AlmiQwF,spotify:track:6AZyiAl6mr3Jcp6AlmiQwF,https://api.spotify.com/v1/tracks/6AZyiAl6mr3Jcp6AlmiQwF,https://api.spotify.com/v1/audio-analysis/6AZyiAl6mr3Jcp6AlmiQwF,145173,4
Native New Yorker,Odyssey,0PVgef4kvggErf7OS2oktc,0PVgef4kvggErf7OS2oktc,0.539,0.921,1,-6.662,1,0.138,0.0385,0.000102,0.655,0.69,109.787,audio_features,0PVgef4kvggErf7OS2oktc,spotify:track:0PVgef4kvggErf7OS2oktc,https://api.spotify.com/v1/tracks/0PVgef4kvggErf7OS2oktc,https://api.spotify.com/v1/audio-analysis/0PVgef4kvggErf7OS2oktc,259733,4
